Date,COUR,DSY.PA,COGN3.SA,UDMY,STRA,215200.KQ,UTI,APEI,601928.SS,ACAD.ST,BFAM,QSG,600757.SS,300654.SZ,AFYA,000526.SZ,003032.SZ,CAP.PA,300359.SZ,LRN,PSON.L,601858.SS,300338.SZ,RM.L,LINC,NAVNETEDUL.NS,LOPE,4323.T,OMG.L,ATGE,LAUR,YDUQ3.SA
2021-02-17,,36.67276763916016,4.260000228881836,,81.20301055908203,49658.95703125,6.71999979019165,29.15999984741211,,73.55493927001953,179.74000549316406,,,,23.16866874694824,,,127.17436981201172,,26.239999771118164,757.3457641601562,,,215.9102783203125,5.920000076293945,78.13105010986328,103.3499984741211,369.9101257324219,90.89047241210938,39.75,6.699493408203125,31.140674591064453
2021-02-18,,36.780738830566406,4.199999809265137,,83.2414321899414,49566.99609375,6.179999828338623,29.38999938964844,4.901349067687988,72.67929077148438,164.97999572753906,,4.128207683563232,4.668501377105713,22.951494216918945,46.0,25.350385665893555,129.42689514160156,5.849999904632568,26.350000381469727,755.148193359375,8.56138801574707,6.079999923706055,217.40965270996097,5.849999904632568,81.49151611328125,107.29000091552734,361.2256774902344,90.89047241210938,40.630001068115234,6.7460174560546875,31.16911506652832
2021-02-19,,36.99668884277344,4.179999828338623,,82.7845458984375,49934.83984375,6.199999809265137,29.690000534057617,5.005123615264893,72.9419937133789,169.69000244140625,,4.208994388580322,4.787769794464111,22.763933181762695,48.720001220703125,25.997840881347656,131.44480895996094,6.090000152587891,25.559999465942383,749.1549682617188,9.416605949401855,6.199999809265137,208.9131774902344,5.920000076293945,80.7447509765625,110.41999816894533,360.5215148925781,90.39107513427734,41.33000183105469,6.79254150390625,31.04587745666504
2021-02-22,,35.44575500488281,3.9800000190734863,,79.6654052734375,48555.421875,6.320000171661377,29.63999938964844,5.061002254486084,72.59172821044922,166.1300048828125,,4.249387741088867,4.821845531463623,22.19137954711914,47.75,26.456037521362305,128.6760711669922,6.0,25.06999969482422,736.9686279296875,9.333843231201172,6.119999885559082,223.90695190429688,5.980000019073486,79.53124237060547,107.91999816894533,370.3795776367187,90.89047241210938,41.099998474121094,6.6762309074401855,29.93675994873047
2021-02-23,,34.7390022277832,3.9600000381469727,,81.59839630126953,48463.4609375,6.230000019073486,28.920000076293945,5.02108907699585,71.45337677001953,169.05999755859375,,4.217072486877441,4.685539722442627,22.211122512817383,47.220001220703125,24.593358993530273,126.9866714477539,5.889999866485596,24.719999313354492,755.3479614257812,9.269471168518066,6.039999961853027,217.90945434570312,6.0,79.06450653076172,108.86000061035156,,90.89047241210938,40.619998931884766,6.6762309074401855,30.03155517578125
2021-02-24,,34.336544036865234,3.900000095367432,,82.52973937988281,47267.96875,6.300000190734863,29.670000076293945,5.084949970245361,71.62850952148438,170.75999450683594,,4.217072486877441,4.855922222137451,22.290096282958984,45.97999954223633,22.72071647644043,127.73751831054688,5.909999847412109,25.190000534057617,751.7518920898438,9.31545066833496,5.909999847412109,216.90985107421875,6.110000133514404,80.93144226074219,108.18000030517578,353.01068115234375,90.89047241210938,41.33000183105469,6.894894599914551,29.81352424621582
2021-02-25,,33.934085845947266,3.839999914169311,,79.48967742919922,49291.11328125,6.179999828338623,28.030000686645508,5.053019046783447,74.08033752441406,160.6999969482422,,4.208994388580322,4.748013496398926,22.69483184814453,45.869998931884766,21.097097396850582,125.7196044921875,5.75,25.09000015258789,758.9439086914062,9.260275840759276,5.690000057220459,211.91192626953125,5.829999923706055,83.54513549804688,106.62000274658205,355.1231384277344,90.89047241210938,39.66999816894531,6.392432689666748,28.837120056152344
2021-02-26,,33.74757766723633,3.740000009536743,,79.88506317138672,49015.23046875,6.130000114440918,29.440000534057617,5.005123615264893,73.9927749633789,159.66000366210938,,4.184758186340332,4.821845531463623,22.132150650024418,44.939998626708984,21.226587295532227,124.96876525878906,5.929999828338623,24.049999237060547,750.15380859375,9.195905685424805,5.880000114440918,208.9131774902344,5.78000020980835,80.97810363769531,104.69000244140624,355.592529296875,90.89047241210938,39.29999923706055,6.397085189819336,28.552730560302734
2021-03-01,,33.79666519165039,3.609999895095825,,75.99273681640625,,6.289999961853027,29.959999084472656,5.005123615264893,74.08033752441406,162.83999633789062,,4.24130916595459,4.895678997039795,22.53688621520996,46.52000045776367,23.34825134277344,128.06600952148438,6.119999885559082,25.329999923706055,762.1401977539062,9.425803184509276,6.130000114440918,215.9102783203125,5.96999979019165,83.49847412109375,106.72000122070312,364.042236328125,90.89047241210938,38.9900016784668,6.308689594268799,27.23505592346191
2021-03-02,,33.95372009277344,3.630000114440918,,70.03561401367188,48739.34375,6.170000076293945,29.18000030517578,5.076967716217041,75.8316421508789,164.9499969482422,,4.208994388580322,4.827526092529297,22.22099494934082,46.70000076293945,24.902143478393555,128.6760711669922,6.039999961853027,24.1299991607666,759.742919921875,9.361431121826172,5.980000019073486,213.91110229492188,6.019999980926514,82.0982666015625,104.9499969482422,356.76611328125,91.3898696899414,38.349998474121094,6.401737689971924,26.438764572143555
2021-03-03,,33.70831298828125,3.6700000762939458,,69.46450805664062,49015.23046875,5.949999809265137,28.18000030517578,5.084949970245361,77.32025909423828,163.97000122070312,,4.249387741088867,4.85024356842041,21.85574531555176,46.650001525878906,24.175003051757812,130.3185577392578,6.079999923706055,24.149999618530273,781.7182006835938,9.471781730651855,6.010000228881836,214.4109039306641,5.940000057220459,81.21147918701172,101.88999938964844,349.0205383300781,91.3898696899414,38.29999923706055,6.103982448577881,26.23969268798828
2021-03-04,,33.59052276611328,3.700000047683716,,70.88790130615234,51498.171875,6.03000020980835,27.450000762939453,5.156794548034668,75.56895446777344,160.38999938964844,,4.233230113983154,4.827526092529297,21.9544620513916,47.61000061035156,23.208797454833984,129.37998962402344,6.269999980926514,24.36000061035156,765.5364379882812,9.453389167785645,5.929999828338623,210.912353515625,5.940000057220459,81.25816345214844,100.86000061035156,359.1132507324219,91.3898696899414,38.02000045776367,6.322646141052246,26.23969268798828
2021-03-05,,33.109535217285156,4.070000171661377,,71.34820556640625,50394.64453125,6.139999866485596,27.809999465942383,5.172759532928467,72.76685333251953,161.5,,4.281702995300293,4.963832855224609,22.122278213500977,47.599998474121094,22.840246200561523,127.59671020507812,6.400000095367432,24.790000915527344,759.1436157226562,9.389019012451172,5.980000019073486,204.9148406982422,5.869999885559082,79.90463256835938,101.3499984741211,359.1132507324219,91.88926696777344,38.79999923706055,6.480829238891602,27.254016876220703
2021-03-08,,32.91321563720703,3.8299999237060542,,73.9241714477539,49475.03125,6.070000171661377,27.280000686645508,5.156794548034668,74.2554702758789,162.39999389648438,,4.265544891357422,4.855922222137451,20.88832664489746,45.599998474121094,22.142986297607425,130.9285888671875,6.130000114440918,23.600000381469727,807.888671875,9.1039457321167,5.800000190734863,216.4100799560547,5.949999809265137,80.23133850097656,100.0,336.1112060546875,94.3862533569336,38.349998474121094,6.429652214050293,25.462364196777344
2021-03-09,,33.79666519165039,3.75,,73.39306640625,50578.56640625,6.25,27.829999923706055,5.156794548034668,72.9419937133789,162.69000244140625,,4.24130916595459,4.702578067779541,20.48359107971191,44.93000030517578,21.475608825683594,135.05824279785156,6.059999942779541,24.270000457763672,805.2916870117188,8.92922306060791,5.610000133514404,221.90777587890625,6.139999866485596,79.11119079589844,101.48999786376952,330.47808837890625,94.3862533569336,39.5099983215332,6.415695667266846,25.045255661010746
2021-03-10,,33.92427062988281,4.050000190734863,,74.19859313964844,49475.03125,6.239999771118164,30.31999969482422,5.076967716217041,72.67929077148438,164.0,,4.184758186340332,4.685539722442627,19.81232261657715,41.7400016784668,22.3521671295166,134.68283081054688,5.920000076293945,24.84000015258789,818.676513671875,8.736109733581543,5.360000133514404,220.908203125,6.130000114440918,79.6712646484375,102.52999877929688,329.5392150878906,94.3862533569336,39.220001220703125,6.4761762619018555,25.651952743530273
2021-03-11,,34.96476745605469,4.139999866485596,,77.35881042480469,48463.4609375,6.21999979019165,31.88999938964844,5.124863147735596,73.02955627441406,170.83999633789062,,4.24130916595459,4.696897983551025,21.00678825378418,41.06999969482422,22.30236053466797,136.70071411132812,6.03000020980835,27.079999923706055,815.4801635742188,8.892438888549805,5.420000076293945,227.90530395507812,6.46999979019165,,106.88999938964844,349.2552490234375,94.3862533569336,40.119998931884766,6.6762309074401855,26.5335636138916
2021-03-12,,33.992984771728516,4.190000057220459,,78.64234924316406,47911.6953125,6.25,33.40999984741211,5.116880416870117,72.76685333251953,169.60000610351562,,4.265544891357422,4.6628217697143555,20.878456115722656,40.04999923706055,21.485570907592773,135.8560333251953,5.929999828338623,28.729999542236328,815.2802734375,8.92922306060791,5.409999847412109,229.9044647216797,6.46999979019165,81.72489166259766,107.33999633789062,354.18426513671875,94.3862533569336,41.689998626708984,6.773931503295898,26.65679931640625
2021-03-15,,34.20893096923828,4.119999885559082,,77.7659912109375,47819.734375,6.210000038146973,34.279998779296875,5.260568618774414,72.32903289794922,169.39999389648438,,4.2978596687316895,4.668501377105713,21.29306411743164,38.779998779296875,21.864084243774418,135.1051788330078,5.909999847412109,28.239999771118164,801.296142578125,8.791285514831543,5.300000190734863,213.91110229492188,6.5,79.48457336425781,109.77999877929688,360.0520935058594,94.88565063476562,41.27000045776367,6.704145908355713,26.68523597717285
2021-03-16,,34.82734680175781,3.9700000286102295,,76.54440307617188,51957.98046875,6.139999866485596,34.7599983215332,5.284516334533691,72.15390014648438,167.02000427246094,,4.314017295837402,4.782090663909912,21.441137313842773,38.91999816894531,21.844161987304688,135.6213836669922,6.119999885559082,28.559999465942383,812.2838134765625,8.956809997558594,5.449999809265137,222.40757751464844,6.5,85.92549896240234,110.12000274658205,357.0008544921875,94.88565063476562,40.439998626708984,6.601792335510254,26.20177459716797
2021-03-17,,34.82734680175781,4.119999885559082,,77.63321685791016,53613.27734375,6.139999866485596,36.54999923706055,5.284516334533691,72.59172821044922,169.6999969482422,,4.281702995300293,4.872961044311523,21.174604415893555,39.619998931884766,21.21662712097168,133.27500915527344,6.079999923706055,28.15999984741211,797.50048828125,8.966007232666016,5.449999809265137,215.9102783203125,6.53000020980835,80.65140533447266,110.12000274658205,354.4189453125,94.88565063476562,40.970001220703125,6.597140312194824,27.168699264526367
2021-03-18,,34.54268264770508,3.9700000286102295,,77.16405487060547,53797.203125,6.03000020980835,37.2599983215332,5.244603633880615,72.76685333251953,169.36000061035156,,4.265544891357422,4.867281436920166,20.62179374694824,41.29999923706055,22.21271324157715,133.7912139892578,5.960000038146973,27.690000534057617,803.8931884765625,8.864851951599121,5.349999904632568,212.94110107421875,6.449999809265137,78.69113159179688,110.0,367.3282775878906,94.88565063476562,40.880001068115234,6.615750312805176,25.813108444213867
2021-03-19,,34.82734680175781,4.159999847412109,,77.47388458251953,54165.046875,5.860000133514404,38.81999969482422,5.244603633880615,71.45337677001953,167.36000061035156,,4.225151062011719,4.918396472930908,20.375003814697266,40.029998779296875,22.2027530670166,134.21356201171875,5.920000076293945,28.200000762939453,795.3028564453125,8.855655670166016,5.28000020980835,229.93638610839844,6.949999809265137,79.39122772216797,110.81999969482422,370.6142883300781,94.88565063476562,41.43000030517578,6.585508823394775,26.06905937194824
